pl_name,hostname,pl_rade,st_teff,st_rad,st_mass,rastr,ra,decstr,dec,sy_dist
UCAC3 113-933 b,UCAC3 113-933,12.10000000,3864.00,0.564484,0.610000,00h21m06.19s,5.2758121,-33d48m11.40s,-33.8031679,52.58290000
HD 1690 b,HD 1690,12.50000000,4374.00,21.660000,1.860000,00h21m13.34s,5.3055886,-08d16m52.12s,-8.2811442,752.61500000
HATS-30 b,HATS-30,13.17057500,5943.00,1.061000,1.093000,00h22m28.45s,5.6185250,-59d56m33.32s,-59.9425892,342.14000000
HD 2039 b,HD 2039,12.70000000,5945.00,1.190000,1.230000,00h24m20.43s,6.0851069,-56d38m59.96s,-56.6499880,85.69220000
TOI-5322 b,TOI-5322,16.61170940,5692.00,1.462000,0.998000,00h26m07.04s,6.5293373,+14d20m11.14s,14.3364283,476.89900000
HATS-49 b,HATS-49,8.57488500,4405.00,0.697700,0.713300,00h26m27.26s,6.6135927,-56d20m39.41s,-56.3442798,324.41300000
HATS-46 b,HATS-46,10.12172700,5495.00,0.853000,0.917000,00h26m48.63s,6.7026401,-56d18m57.97s,-56.3161021,453.80800000
Qatar-5 b,Qatar-5,12.40836300,5747.00,1.076000,1.128000,00h28m12.94s,7.0539375,+42d03m40.84s,42.0613451,367.65800000
BD-17 63 b,BD-17 63,12.80000000,4714.00,0.740000,0.741000,00h28m33.92s,7.1413494,-16d13m38.37s,-16.2273254,34.46030000
TOI-178 b,TOI-178,1.15200000,4316.00,0.651000,0.650000,00h29m12.48s,7.3020115,-30d27m14.82s,-30.4541159,62.69900000
TOI-178 c,TOI-178,1.66900000,4316.00,0.651000,0.650000,00h29m12.48s,7.3020115,-30d27m14.82s,-30.4541159,62.69900000
TOI-178 d,TOI-178,2.57200000,4316.00,0.651000,0.650000,00h29m12.48s,7.3020115,-30d27m14.82s,-30.4541159,62.69900000
TOI-178 e,TOI-178,2.20700000,4316.00,0.651000,0.650000,00h29m12.48s,7.3020115,-30d27m14.82s,-30.4541159,62.69900000
TOI-178 f,TOI-178,2.28700000,4316.00,0.651000,0.650000,00h29m12.48s,7.3020115,-30d27m14.82s,-30.4541159,62.69900000
TOI-178 g,TOI-178,2.87000000,4316.00,0.651000,0.650000,00h29m12.48s,7.3020115,-30d27m14.82s,-30.4541159,62.69900000
HD 2685 b,HD 2685,16.14096000,6801.00,1.560000,1.430000,00h29m18.94s,7.3289156,-76d18m14.52s,-76.3040320,196.85200000
HD 2638 b,HD 2638,14.30000000,5186.00,0.940000,0.770000,00h29m59.76s,7.4990038,-05d45m53.86s,-5.7649600,54.96210000
WASP-190 b,WASP-190,12.89035000,6400.00,1.600000,1.350000,00h30m50.29s,7.7095292,-40d34m24.46s,-40.5734613,542.25100000
HD 2952 b,HD 2952,13.90000000,4853.00,10.900000,1.910000,00h33m10.52s,8.2938367,+54d53m41.34s,54.8948177,110.10300000
TOI-6029 b,TOI-6029,14.39233122,6223.00,2.338000,1.548000,00h33m32.70s,8.3862555,+61d51m38.76s,61.8607659,603.11900000
HD 3167 b,HD 3167,1.67000000,5261.00,0.880000,0.837000,00h34m57.64s,8.7401487,+04d22m50.60s,4.3807215,47.28990000
HD 3167 c,HD 3167,3.00000000,5261.00,0.880000,0.837000,00h34m57.64s,8.7401487,+04d22m50.60s,4.3807215,47.28990000
HD 3167 d,HD 3167,1.92000000,5261.00,0.880000,0.837000,00h34m57.64s,8.7401487,+04d22m50.60s,4.3807215,47.28990000
HD 3167 e,HD 3167,2.83000000,5261.00,0.880000,0.837000,00h34m57.64s,8.7401487,+04d22m50.60s,4.3807215,47.28990000
TOI-2406 b,TOI-2406,2.86000000,3100.00,0.204000,0.166000,00h35m13.45s,8.8060544,-03d22m19.50s,-3.3720833,55.41900000
WASP-93 b,WASP-93,17.90077300,6700.00,1.524000,1.334000,00h37m50.10s,9.4587443,+51d17m19.60s,51.2887780,370.28400000
HAT-P-19 b,HAT-P-19,11.29865255,4962.00,0.773000,0.807000,00h38m03.98s,9.5165832,+34d42m41.05s,34.7114025,202.07800000
HAT-P-16 b,HAT-P-16,14.44800000,6158.00,1.237000,1.218000,00h38m17.53s,9.5730343,+42d27m47.15s,42.4630961,226.63700000
K2-149 b,K2-149,1.64000000,3745.00,0.568000,0.595000,00h39m17.22s,9.8217519,+07d16m37.18s,7.2769939,123.67600000
HD 3651 b,HD 3651,10.10000000,5221.00,0.871954,0.799000,00h39m21.29s,9.8387218,+21d14m55.98s,21.2488844,11.13360000
GJ 27.1 b,GJ 27.1,3.66000000,3542.00,0.518887,0.530000,00h39m59.52s,9.9980016,-44d15m15.00s,-44.2541679,23.60620000
TOI-1470 b,TOI-1470,2.18000000,3709.00,0.469000,0.471000,00h40m21.39s,10.0891431,+61d12m48.19s,61.2133868,51.95030000
TOI-1470 c,TOI-1470,2.47000000,3709.00,0.469000,0.471000,00h40m21.39s,10.0891431,+61d12m48.19s,61.2133868,51.95030000
HD 3765 b,HD 3765,8.56000000,5049.80,0.830610,0.851785,00h40m49.75s,10.2072994,+40d11m03.45s,40.1842918,17.92600000
TOI-244 b,TOI-244,1.52000000,3433.00,0.426000,0.428000,00h42m16.74s,10.5697537,-36d43m04.71s,-36.7179743,22.03370000
HD 4113 b,HD 4113,13.50000000,5688.00,1.077514,1.008000,00h43m12.66s,10.8027515,-37d58m59.25s,-37.9831248,41.87270000
L 363-38 b,L 363-38,2.00000000,3129.00,0.274000,0.210000,00h43m25.33s,10.8555443,-41d17m43.05s,-41.2952926,10.22950000
HD 4208 b,HD 4208,13.90000000,5717.00,0.846000,0.883000,00h44m27.01s,11.1125532,-26d30m54.14s,-26.5150392,34.19370000
HD 4308 b,HD 4308,4.12000000,5686.00,1.020000,0.930000,00h44m39.66s,11.1652594,-65d39m09.78s,-65.6527159,22.01580000
HD 4203 b,HD 4203,13.30000000,5596.00,1.420000,1.250000,00h44m41.33s,11.1722288,+20d26m54.21s,20.4483925,81.37950000
HD 4203 c,HD 4203,13.30000000,5582.00,1.497950,0.990000,00h44m41.33s,11.1722288,+20d26m54.21s,20.4483925,81.37950000
LHS 1140 b,LHS 1140,1.73000000,3096.00,0.215900,0.184400,00h44m59.67s,11.2486320,-15d16m26.79s,-15.2741085,14.98610000
LHS 1140 c,LHS 1140,1.27200000,3096.00,0.215900,0.184400,00h44m59.67s,11.2486320,-15d16m26.79s,-15.2741085,14.98610000
K2-206 b,K2-206,2.79522879,5043.00,0.758046,0.789481,00h45m01.54s,11.2564264,+00d35m35.47s,0.5931866,244.44300000
K2-217 b,K2-217,3.57854073,5967.00,1.333718,1.102661,00h45m11.61s,11.2983678,+06d28m53.72s,6.4815879,381.87800000
HD 4313 b,HD 4313,13.40000000,4943.00,5.140000,1.630000,00h45m40.35s,11.4181301,+07d50m42.18s,7.8450492,136.30800000
K2-216 b,K2-216,1.75000000,4503.00,0.720000,0.700000,00h45m55.26s,11.4802354,+06d20m49.31s,6.3470302,115.46100000
K2-207 b,K2-207,2.60585269,5522.00,0.928158,0.941851,00h46m47.92s,11.6996481,+00d38m26.23s,0.6406182,363.06400000
HD 4732 b,HD 4732,13.40000000,4898.00,5.030000,1.390000,00h49m14.04s,12.3085089,-24d08m12.87s,-24.1369079,54.78410000
HD 4732 c,HD 4732,13.10000000,4898.00,5.030000,1.390000,00h49m14.04s,12.3085089,-24d08m12.87s,-24.1369079,54.78410000
HD 4760 b,HD 4760,12.30000000,4076.00,42.400000,1.050000,00h49m39.88s,12.4161652,+06d24m25.71s,6.4071412,537.87300000
HD 5278 b,HD 5278,2.45000000,6203.00,1.194000,1.126000,00h50m11.23s,12.5467785,-83d44m37.56s,-83.7437671,57.58460000
HD 5278 c,HD 5278,4.49000000,6203.00,1.194000,1.126000,00h50m11.23s,12.5467785,-83d44m37.56s,-83.7437671,57.58460000
K2-385 b,K2-385,1.53900000,4844.00,0.761000,0.927000,00h50m27.38s,12.6140752,+05d52m16.52s,5.8712567,420.81900000
K2-220 b,K2-220,2.37000000,5612.00,1.026000,0.910000,00h51m04.80s,12.7700071,+09d31m00.37s,9.5167694,233.51400000
K2-203 b,K2-203,1.26549392,5026.00,0.765000,0.793000,00h51m05.69s,12.7736909,-01d11m45.18s,-1.1958844,166.14700000
HD 4917 b,HD 4917,13.50000000,4802.00,5.010000,1.320000,00h51m06.30s,12.7762624,-12d55m39.59s,-12.9276648,204.27700000
K2-218 b,K2-218,2.56948149,5757.00,1.008231,1.047488,00h51m14.31s,12.8096130,+06d50m47.16s,6.8464327,394.08300000
TOI-4638.01,TOI-4638,2.93300000,5700.00,0.895000,1.020000,00h51m16.96s,12.8206627,+12d47m16.75s,12.7879858,168.24800000
TOI-3980 b,TOI-3980,14.45958510,5840.00,1.626000,1.240000,00h51m22.06s,12.8419374,+59d34m33.10s,59.5758606,486.72100000
K2-219 b,K2-219,1.34762583,5753.00,1.189232,1.021545,00h51m22.87s,12.8452963,+08d52m03.17s,8.8675474,325.40000000
K2-219 c,K2-219,1.43839723,5753.00,1.189232,1.021545,00h51m22.87s,12.8452963,+08d52m03.17s,8.8675474,325.40000000
K2-219 d,K2-219,2.57634456,5753.00,1.189232,1.021545,00h51m22.87s,12.8452963,+08d52m03.17s,8.8675474,325.40000000
TYC 3667-1280-1 b,TYC 3667-1280-1,12.80000000,5130.00,6.260000,1.870000,00h51m33.02s,12.8875757,+58d25m34.13s,58.4261485,477.51600000
TOI-5301 b,TOI-5301,13.09208946,6240.00,2.190000,1.483000,00h51m57.79s,12.9908008,+13d04m42.14s,13.0783712,629.16100000
HAT-P-28 b,HAT-P-28,13.58500000,5680.00,1.103000,1.025000,00h52m00.22s,13.0009159,+34d43m42.25s,34.7284020,401.31900000
EPIC 220674823 b,EPIC 220674823,1.67600000,5578.00,0.990000,0.913000,00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,244.59000000
EPIC 220674823 c,EPIC 220674823,2.84000000,5578.00,0.990000,0.913000,00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,244.59000000
K2-213 b,K2-213,1.51398464,5794.00,1.204240,1.069596,00h52m33.70s,13.1403998,+03d30m27.97s,3.5077702,389.70200000
K2-283 b,K2-283,3.52000000,5060.00,0.820000,0.890000,00h52m46.65s,13.1943679,+09d41m34.51s,9.6929181,402.91500000
EPIC 220554210 c,K2-282,1.60000000,5499.00,1.000000,0.940000,00h53m43.72s,13.4321524,+07d59m43.05s,7.9952914,496.28900000
K2-282 b,K2-282,2.50000000,5499.00,1.000000,0.940000,00h53m43.72s,13.4321524,+07d59m43.05s,7.9952914,496.28900000
HD 5319 b,HD 5319,13.50000000,4871.00,4.060000,1.270000,00h55m01.39s,13.7558096,+00d47m21.63s,0.7893425,121.40500000
HD 5319 c,HD 5319,13.80000000,4871.00,4.060000,1.270000,00h55m01.39s,13.7558096,+00d47m21.63s,0.7893425,121.40500000
TOI-1472 b,TOI-1472,4.15964583,5133.00,0.837700,0.915400,00h56m27.42s,14.1142611,+48d38m15.06s,48.6375168,121.84000000
HD 5583 b,HD 5583,12.80000000,4830.00,9.090000,1.010000,00h57m56.87s,14.4869460,+34d59m07.19s,34.9853306,219.21600000
K2-148 b,K2-148,1.33000000,4079.00,0.632000,0.650000,00h58m04.24s,14.5176494,-00d11m35.73s,-0.1932580,124.45800000
K2-148 c,K2-148,1.73000000,4079.00,0.632000,0.650000,00h58m04.24s,14.5176494,-00d11m35.73s,-0.1932580,124.45800000
K2-148 d,K2-148,1.64000000,4079.00,0.632000,0.650000,00h58m04.24s,14.5176494,-00d11m35.73s,-0.1932580,124.45800000
HD 5608 b,HD 5608,13.70000000,4807.00,5.430000,1.290000,00h58m14.26s,14.5594349,+33d57m02.08s,33.9505774,58.11050000
K2-209 b,K2-209,0.86850263,4720.00,0.712365,0.744790,00h58m45.68s,14.6903464,+01d22m58.11s,1.3828070,76.49860000
TOI-2420 b,TOI-2420,15.02003414,5707.00,2.369000,1.158000,00h59m18.44s,14.8268138,-19d46m16.19s,-19.7711643,435.17400000
K2-214 b,K2-214,2.51000000,5875.00,1.236000,1.030000,00h59m30.23s,14.8759777,+04d13m39.98s,4.2277722,300.64000000
HATS-68 b,HATS-68,13.80948800,6147.00,1.748000,1.351000,01h00m01.46s,15.0060770,-58d54m17.01s,-58.9047242,603.95500000
HD 5891 b,HD 5891,12.60000000,4673.00,10.640000,1.930000,01h00m33.20s,15.1383168,+20d17m32.33s,20.2923139,283.50200000
K2-205 b,K2-205,1.99552771,5890.00,1.077574,0.951027,01h00m52.22s,15.2175909,+00d25m33.48s,0.4259660,405.30100000
TOI-261.01,TOI-261,3.04498630,5890.30,1.280180,0.496728,01h00m52.35s,15.2181412,-24d25m26.38s,-24.4239934,114.49500000
HATS-71 b,HATS-71,11.47801600,3405.00,0.478300,0.486100,01h02m12.45s,15.5518893,-61d45m22.08s,-61.7561333,140.22500000
HIP 4845 b,HIP 4845,3.89000000,4010.00,0.603999,0.620000,01h02m21.16s,15.5881733,-10d25m28.63s,-10.4246208,21.09740000
HD 6061 b,HD 6061,2.42763557,5934.00,1.007200,1.026900,01h02m23.55s,15.5981441,+37d11m07.58s,37.1854394,67.62030000
TOI-3693 b,TOI-3693,12.59889431,5321.00,0.791000,0.867000,01h02m37.05s,15.6543938,+51d18m14.01s,51.3038918,176.43600000
Gl 49 b,Gl 49,2.24000000,3805.00,0.511000,0.515000,01h02m40.50s,15.6687321,+62d20m43.58s,62.3454386,9.85280000
TOI-6651 b,TOI-6651,5.09000000,5940.00,1.721000,1.323000,01h03m09.26s,15.7885904,+35d23m20.55s,35.3890405,212.12800000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,12.30000000,,,0.190000,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,47.20000000
HD 6434 b,HD 6434,14.20000000,5769.00,1.120000,1.100000,01h04m39.92s,16.1663441,-39d29m25.77s,-39.4904909,42.35800000
TOI-2046 b,TOI-2046,16.14093221,6250.00,1.210000,1.130000,01h04m44.39s,16.1849423,+74d19m52.70s,74.3313055,289.66800000
G 268-110 b,G 268-110,1.13000000,,0.177000,0.137000,01h04m53.69s,16.2236880,-18d07m29.29s,-18.1248020,
K2-281 b,K2-281,8.18000000,4812.00,0.760000,0.820000,01h04m54.59s,16.2274724,+07d16m09.18s,7.2692169,458.13900000
K2-222 b,K2-222,2.35000000,5942.00,1.115000,0.989000,01h05m51.00s,16.4625203,+11d45m13.38s,11.7537171,101.32100000
HIP 5158 b,HIP 5158,13.60000000,4962.00,0.750000,0.780000,01h06m02.28s,16.5094891,-22d27m13.01s,-22.4536134,51.60260000
HIP 5158 c,HIP 5158,12.20000000,4813.00,0.754089,0.780000,01h06m02.28s,16.5094891,-22d27m13.01s,-22.4536134,51.60260000
TOI-1468 b,TOI-1468,1.40100000,3376.00,0.371400,0.352700,01h06m36.93s,16.6538724,+19d13m29.71s,19.2249195,24.73990000
TOI-1468 c,TOI-1468,2.12600000,3376.00,0.371400,0.352700,01h06m36.93s,16.6538724,+19d13m29.71s,19.2249195,24.73990000
K2-221 b,K2-221,1.67890272,5716.00,0.947599,1.010842,01h06m37.21s,16.6550286,+10d11m23.06s,10.1897385,318.81000000
EPIC 220492298 b,EPIC 220492298,0.99000000,5620.00,0.890000,0.950000,01h07m02.76s,16.7615005,+06d35m19.67s,6.5887980,624.51200000
TOI-169 b,TOI-169,12.17297400,5880.00,1.288000,1.147000,01h07m06.89s,16.7786879,-75d11m56.20s,-75.1989452,407.84000000
HD 6718 b,HD 6718,13.50000000,5801.00,0.950000,1.080000,01h07m48.86s,16.9536005,-08d14m01.02s,-8.2336165,51.34440000
K2-204 b,K2-204,3.17214154,5783.00,1.253000,1.076000,01h09m31.80s,17.3825067,-00d31m03.91s,-0.5177539,577.23500000
HD 6860 b,HD 6860,11.90000000,3802.00,86.400000,2.490000,01h09m43.91s,17.4329790,+35d37m13.80s,35.6204990,61.12469000
WASP-187 b,WASP-187,18.38276000,6150.00,2.830000,1.540000,01h09m53.94s,17.4747400,+25d40m53.94s,25.6816494,371.41400000
K2-210 b,K2-210,0.86000000,5500.00,0.890000,0.911717,01h10m33.90s,17.6412694,+01d34m42.29s,1.5784137,176.51000000
HD 7199 b,HD 7199,11.10000000,5371.00,0.970000,0.770000,01h10m47.50s,17.6979344,-66d11m19.30s,-66.1886947,36.15310000
TOI-4406 b,TOI-4406,11.20898070,6219.00,1.290000,1.190000,01h12m11.64s,18.0485164,-56d55m31.40s,-56.9253875,261.83400000
YZ Cet b,YZ Cet,0.91300000,3151.00,0.157000,0.142000,01h12m31.94s,18.1330792,-16d59m46.48s,-16.9962434,3.71207000
YZ Cet c,YZ Cet,1.05000000,3151.00,0.157000,0.142000,01h12m31.94s,18.1330792,-16d59m46.48s,-16.9962434,3.71207000
YZ Cet d,YZ Cet,1.03000000,3151.00,0.157000,0.142000,01h12m31.94s,18.1330792,-16d59m46.48s,-16.9962434,3.71207000
GU Psc b,GU Psc,14.17900000,4031.81,0.450458,0.325000,01h12m35.16s,18.1464850,+17d03m54.01s,17.0650029,47.55010000
K2-386 b,K2-386,2.32000000,5749.00,0.970000,0.911000,01h13m12.00s,18.2999964,+07d00m46.91s,7.0130302,428.78500000
K2-150 b,K2-150,2.00000000,3499.00,0.436000,0.457000,01h13m22.65s,18.3443908,+08d59m14.76s,8.9874328,102.48300000
K2-212 b,K2-212,2.65000000,4349.00,0.678000,0.622000,01h13m41.78s,18.4241015,+03d05m49.46s,3.0970732,109.21800000
K2-215 b,K2-215,2.12381238,5704.00,0.974398,0.999987,01h13m52.82s,18.4700795,+06d07m25.91s,6.1238647,403.96400000
HIP 5763 b,HIP 5763,14.20000000,4352.00,0.750378,0.720000,01h13m58.88s,18.4953430,+16d29m39.39s,16.4942738,31.90430000
HD 7449 b,HD 7449,12.60000000,6024.00,0.970000,1.196000,01h14m29.15s,18.6214650,-05d02m52.70s,-5.0479716,38.66200000
GJ 3082 b,GJ 3082,2.79000000,3910.00,0.465216,0.470000,01h14m34.38s,18.6432425,-53d56m26.79s,-53.9407751,16.61860000
WASP-186 b,WASP-186,12.44199000,6361.00,1.470000,1.220000,01h15m58.87s,18.9953122,+21d37m00.86s,21.6169065,278.51400000
TOI-277 b,TOI-277,2.65000000,4031.00,0.362000,0.160000,01h16m18.41s,19.0766985,-20d57m11.80s,-20.9532772,64.66920000
TOI-1467 b,TOI-1467,1.92000000,3834.00,0.491000,0.489000,01h16m27.51s,19.1146441,+49d13m59.30s,49.2331382,37.44180000
KOBE-1 b,KOBE-1,2.91000000,4135.00,0.619000,0.629000,01h16m39.85s,19.1660378,+25d19m51.73s,25.3310358,23.97180000
KOBE-1 c,KOBE-1,3.56000000,4135.00,0.619000,0.629000,01h16m39.85s,19.1660378,+25d19m51.73s,25.3310358,23.97180000
K2-151 b,K2-151,1.49000000,3695.00,0.450000,0.470000,01h17m13.15s,19.3047733,+09d30m04.56s,9.5012663,69.47980000
K2-387 b,K2-387,7.32200000,3572.00,0.585000,0.570000,01h17m46.04s,19.4418282,+11d22m06.57s,11.3684915,266.31800000
K2-113 b,K2-113,12.14000000,5660.00,1.240000,1.040000,01h17m47.85s,19.4493823,+06d52m07.85s,6.8688469,635.72200000
TOI-4527.01,TOI-4527,0.90866170,3702.00,0.485948,0.483901,01h17m53.34s,19.4722574,+05d28m16.32s,5.4711996,18.10370000
WASP-118 b,WASP-118,16.14096000,6410.00,1.696000,1.320000,01h18m12.14s,19.5505861,+02d42m10.02s,2.7027847,376.65800000
K2-295 b,K2-295,10.05447300,4444.00,0.700000,0.740000,01h18m26.43s,19.6101417,+06d49m00.22s,6.8167277,232.80100000
TOI-2236 b,TOI-2236,14.36991326,6248.00,1.573000,1.343000,01h20m39.84s,20.1660113,-86d58m47.87s,-86.9799650,355.59000000
TOI-4010 b,TOI-4010,3.02000000,4960.00,0.830000,0.880000,01h20m51.56s,20.2148196,+66d04m19.92s,66.0722009,177.50400000
TOI-4010 c,TOI-4010,5.93000000,4960.00,0.830000,0.880000,01h20m51.56s,20.2148196,+66d04m19.92s,66.0722009,177.50400000
TOI-4010 d,TOI-4010,6.18000000,4960.00,0.830000,0.880000,01h20m51.56s,20.2148196,+66d04m19.92s,66.0722009,177.50400000
TOI-4010 e,TOI-4010,13.30000000,4960.00,0.830000,0.880000,01h20m51.56s,20.2148196,+66d04m19.92s,66.0722009,177.50400000
GJ 3090 b,GJ 3090,2.13000000,3556.00,0.516000,0.519000,01h21m45.22s,20.4384281,-46d42m53.00s,-46.7147234,22.47510000
HD 7924 b,HD 7924,2.40000000,5131.00,0.780000,0.650000,01h21m58.96s,20.4956562,+76d42m36.53s,76.7101475,16.99220000
HD 7924 c,HD 7924,2.72000000,5075.00,0.782100,0.832000,01h21m58.96s,20.4956562,+76d42m36.53s,76.7101475,16.99220000
HD 7924 d,HD 7924,2.42000000,5075.00,0.782100,0.832000,01h21m58.96s,20.4956562,+76d42m36.53s,76.7101475,16.99220000
K2-384 b,K2-384,1.07600000,3623.00,0.348000,0.330000,01h21m59.96s,20.4998403,+00d45m03.49s,0.7509701,82.66030000
K2-384 c,K2-384,1.19100000,3623.00,0.348000,0.330000,01h21m59.96s,20.4998403,+00d45m03.49s,0.7509701,82.66030000
K2-384 d,K2-384,1.39200000,3623.00,0.348000,0.330000,01h21m59.96s,20.4998403,+00d45m03.49s,0.7509701,82.66030000
K2-384 e,K2-384,1.34500000,3623.00,0.348000,0.330000,01h21m59.96s,20.4998403,+00d45m03.49s,0.7509701,82.66030000
K2-384 f,K2-384,2.22200000,3623.00,0.348000,0.330000,01h21m59.96s,20.4998403,+00d45m03.49s,0.7509701,82.66030000
HD 8326 b,HD 8326,9.58000000,4914.00,0.783181,0.800000,01h22m07.55s,20.5314418,-26d53m38.64s,-26.8940678,30.68620000
2MASS J01225093-2439505 b,2MASS J01225093-2439505,11.20900000,3530.00,0.366450,0.400000,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.82810000
K2-208 b,K2-208,1.67462172,5500.00,0.872000,0.881000,01h23m06.96s,20.7789809,+00d53m20.43s,0.8890076,256.88700000
HD 8535 b,HD 8535,14.00000000,6136.00,1.190000,1.130000,01h23m37.32s,20.9054804,-41d16m12.36s,-41.2701007,55.44010000
TOI-2411 b,TOI-2411,1.68000000,4099.00,0.680000,0.650000,01h23m41.39s,20.9224567,-08d42m06.46s,-8.7017944,59.53620000
